Category,File Number,Average Frequency (Hz),Max Amplitude
MidRipe,1,5138.922808,122.9011543
MidRipe,1,5125.257752,123.0579746
MidRipe,1,5373.945904,140.9268202
MidRipe,1,5519.852158,65.39316579
MidRipe,1,5736.529122,162.0748003
MidRipe,1,5358.402232,68.59988349
MidRipe,1,5374.567285,69.34003553
MidRipe,1,5433.449044,29.16116147
MidRipe,1,5445.59462,29.14877526
MidRipe,1,5753.128104,58.50696093
MidRipe,2,3867.04924,71.47389904
MidRipe,2,5432.270608,27.34613315
MidRipe,2,4396.606116,22.33678548
MidRipe,2,3865.000041,71.47557133
MidRipe,2,4168.840925,57.88896941
MidRipe,2,4164.894861,57.89158566
MidRipe,2,4267.793729,40.81779492
MidRipe,2,5507.102103,27.75555368
MidRipe,2,5506.111485,27.77999546
MidRipe,2,4912.497992,26.81086147
MidRipe,2,5462.582413,28.28902895
MidRipe,3,4627.084569,49.89096108
MidRipe,3,3437.715776,138.8030833
MidRipe,3,3443.106189,138.8270581
MidRipe,3,3439.943501,138.8466973
MidRipe,3,3441.591964,138.7952439
MidRipe,3,3443.002259,138.8166667
MidRipe,3,3438.569983,138.8065187
MidRipe,3,3443.834776,138.7623057
MidRipe,3,2741.732133,101.0550335
MidRipe,3,2733.319365,101.6066264
MidRipe,3,2758.634798,101.560557
MidRipe,3,4882.798678,39.79543161
MidRipe,3,4571.155517,52.89321394
MidRipe,3,4568.059823,52.90523053
MidRipe,3,4569.627217,52.92160731
MidRipe,3,3740.779126,77.61107923
MidRipe,3,3773.474209,78.06167749
MidRipe,3,3735.538177,78.31135387
MidRipe,3,3649.870564,134.6760964
MidRipe,3,3628.570757,134.5395228
MidRipe,3,3624.021783,133.7568294
MidRipe,3,5194.086324,67.54504212
MidRipe,3,4878.617151,39.86684921
MidRipe,3,6904.874659,36.65937785
MidRipe,3,5694.541245,42.70349577
MidRipe,3,5694.053131,42.66497311
MidRipe,3,5695.463166,42.66547968
MidRipe,3,5025.060842,24.74201619
MidRipe,3,4302.499537,79.12139929
MidRipe,3,4302.742211,79.03759219
MidRipe,3,4295.908195,79.06785186
MidRipe,3,4298.234534,79.05180972
MidRipe,3,3439.624306,138.8311577
MidRipe,3,3441.690986,138.8477557
MidRipe,4,4231.124787,76.6411147
MidRipe,4,3294.734159,82.1329905
MidRipe,4,3294.047893,82.03547174
MidRipe,4,4138.583864,92.09299371
MidRipe,4,4076.90671,90.96478655
MidRipe,4,4596.904612,36.61550777
MidRipe,4,4297.89576,30.80300569
MidRipe,4,4086.350855,45.36674223
MidRipe,4,2930.904332,54.91852824
MidRipe,4,4862.648402,39.65515086
MidRipe,4,5825.07353,31.15846733
MidRipe,4,3730.739183,43.08021966
MidRipe,4,3721.541723,43.01874564
MidRipe,5,3871.640056,23.97791307
MidRipe,5,4758.788674,20.96002955
MidRipe,5,5086.821313,45.34870463
MidRipe,5,5087.076196,45.33873152
MidRipe,6,5057.694123,29.35796566
MidRipe,6,3916.96027,30.25652081
MidRipe,6,4171.80712,64.09751548
MidRipe,6,4935.432644,54.47750876
MidRipe,6,4966.98939,39.83316665
MidRipe,6,4449.000388,51.90853197
MidRipe,7,6201.288964,20.78789839
MidRipe,7,4242.23438,58.45318837
MidRipe,7,4866.595854,61.00290963
MidRipe,7,4853.956283,61.06943804
MidRipe,7,4858.661861,61.02898927
MidRipe,7,4675.013186,63.11171555
MidRipe,7,4674.878568,63.1159918
MidRipe,7,4674.854331,63.30207563
MidRipe,7,4674.781681,63.28292011
MidRipe,7,6798.640685,17.9744866
MidRipe,7,5572.448292,37.16837811
MidRipe,7,6215.805651,20.80084258
MidRipe,7,5650.707556,35.75783625
MidRipe,7,5289.348603,23.84580798
MidRipe,7,5284.069874,23.78573128
MidRipe,7,3761.612592,46.57747242
MidRipe,7,4910.563371,67.45532053
MidRipe,7,4905.582697,67.36198293
MidRipe,7,5892.567625,79.79841817
MidRipe,7,5889.144043,79.79187744
MidRipe,7,3700.522499,88.13725618
MidRipe,7,3702.944477,88.08126264
MidRipe,7,4228.692091,58.3121837
MidRipe,8,5867.093665,38.19322436
MidRipe,8,4859.960829,66.1438319
MidRipe,8,4860.466315,66.14139183
MidRipe,8,4859.535166,66.13497559
MidRipe,8,4859.375989,66.12670629
MidRipe,8,3032.178944,80.58403131
MidRipe,8,3032.837384,80.67719641
MidRipe,8,4043.609067,65.97228226
MidRipe,8,6031.988598,34.79302452
MidRipe,8,4852.583511,56.59373767
MidRipe,8,4852.389809,56.59480047
MidRipe,8,5871.624133,38.3313927
MidRipe,8,3568.226626,63.82724813
MidRipe,8,3352.018159,73.27466865
MidRipe,8,3352.846881,73.38480534
MidRipe,8,4047.919607,51.33678073
MidRipe,8,5343.990058,101.3368356
MidRipe,8,5340.912103,101.3152162
MidRipe,8,5341.088291,101.3128988
MidRipe,8,5345.701863,101.2977999
MidRipe,8,4094.333687,80.96218057
MidRipe,8,4860.073862,66.25179351
MidRipe,9,4692.246781,54.77715632
MidRipe,9,4429.496866,45.14734267
MidRipe,9,4244.110004,50.98222161
MidRipe,9,5384.305529,35.281873
MidRipe,9,3954.191453,86.37839204
MidRipe,9,3954.752076,86.36361086
MidRipe,9,3954.712868,86.35488071
MidRipe,9,3508.914558,63.11746074
MidRipe,9,4696.502318,54.86802738
MidRipe,9,3046.185097,47.56907873
MidRipe,9,6719.54909,29.35394472
MidRipe,9,4267.640472,68.18407864
MidRipe,9,4269.840736,68.23175719
MidRipe,9,4954.161256,67.37840944
MidRipe,9,4955.070093,67.3879647
MidRipe,9,4959.401761,67.41099623
